DATE,PRCP,TMAX,TMIN,RAIN
06-12-48,0.25,42,36,1
07-12-48,0.29,39,35,1
08-12-48,0.39,38,32,1
09-12-48,0.84,45,34,1
10-12-48,0.16,46,39,1
11-12-48,0.17,42,38,1
12-12-48,0.02,42,35,1
13-12-48,0.3,37,33,1
14-12-48,0.02,39,33,1
15-12-48,0.01,39,31,1
16-12-48,0,45,29,0
17-12-48,0,36,24,0
18-12-48,0,37,24,0
19-12-48,0.73,45,36,1
20-12-48,0,45,32,0
21-12-48,0,39,31,0
22-12-48,0.16,37,28,1
23-12-48,0,42,19,0
24-12-48,0,36,16,0
25-12-48,0,40,29,0
26-12-48,0,47,22,0
27-12-48,0,34,21,0
28-12-48,0.33,45,31,1
29-12-48,0.29,43,34,1
30-12-48,0.46,44,35,1
31-12-48,0.46,41,32,1
01-01-49,0,35,26,0
02-01-49,0.03,40,22,1
03-01-49,0,40,17,0
04-01-49,0,42,20,0
05-01-49,0,41,28,0
06-01-49,0.03,49,37,1
07-01-49,0.52,46,26,1
08-01-49,0,30,18,0
09-01-49,0,32,13,0
10-01-49,0,30,12,0
11-01-49,0,37,17,0
12-01-49,0,36,19,0
13-01-49,0,41,19,0
14-01-49,0,36,25,0
15-01-49,0,46,28,0
16-01-49,0,43,26,0
17-01-49,0.03,43,33,1
18-01-49,0.02,35,29,1
19-01-49,0,35,24,0
20-01-49,0,30,20,0
21-01-49,0.03,35,22,1
22-01-49,0.01,33,21,1
23-01-49,0,30,16,0
24-01-49,0,29,17,0
25-01-49,0,39,17,0
26-01-49,0.1,31,26,1
27-01-49,0,35,24,0
28-01-49,0,41,16,0
29-01-49,0,40,26,0
30-01-49,0,38,28,0
31-01-49,0,37,29,0
01-02-49,0,37,23,0
02-02-49,0.1,33,25,1
03-02-49,0.03,35,27,1
04-02-49,0.11,33,24,1
05-02-49,0.06,35,21,1
06-02-49,0.06,37,31,1
07-02-49,0,38,31,0
08-02-49,0,41,33,0
09-02-49,0.43,43,34,1
10-02-49,0.96,43,30,1
11-02-49,0.02,37,27,1
12-02-49,0,32,21,0
13-02-49,0,34,18,0
14-02-49,0.18,38,30,1
15-02-49,0.12,42,33,1
16-02-49,1.83,48,41,1
17-02-49,0.07,46,33,1
18-02-49,0.01,40,31,1
19-02-49,0.32,33,29,1
20-02-49,0.15,39,26,1
21-02-49,0.97,47,36,1
22-02-49,0.47,50,44,1
23-02-49,0,59,39,0
24-02-49,0,62,37,0
25-02-49,0,62,35,0
26-02-49,0,62,34,0
27-02-49,0,62,32,0
28-02-49,0,66,30,0
01-03-49,0,55,38,0
02-03-49,0,54,41,0
03-03-49,0,61,38,0
04-03-49,0,58,34,0
05-03-49,0,57,38,0
06-03-49,0,53,41,0
07-03-49,0,48,40,0
08-03-49,0.06,48,38,1
09-03-49,0,54,33,0
10-03-49,0,56,39,0
11-03-49,0,60,41,0
12-03-49,0.6,47,43,1
13-03-49,0.08,49,41,1
14-03-49,0.19,48,41,1
15-03-49,0.06,54,38,1
16-03-49,0.34,55,42,1
17-03-49,0.28,58,43,1
18-03-49,0.33,63,44,1
19-03-49,0.65,55,44,1
20-03-49,0.27,48,41,1
21-03-49,0,52,37,0
22-03-49,0,53,33,0
23-03-49,0,55,33,0
24-03-49,0,54,36,0
25-03-49,0.16,53,38,1
26-03-49,0.03,52,37,1
27-03-49,0,52,32,0
28-03-49,0,51,30,0
29-03-49,0.49,43,35,1
30-03-49,0,49,35,0
31-03-49,0,55,30,0
01-04-49,0.07,46,38,1
02-04-49,0,55,38,0
03-04-49,0,62,34,0
04-04-49,0,72,40,0
05-04-49,0.02,57,40,1
06-04-49,0,64,36,0
07-04-49,0,51,38,0
08-04-49,0,60,43,0
09-04-49,0,71,41,0
10-04-49,0,67,43,0
11-04-49,0,58,43,0
12-04-49,0,58,42,0
13-04-49,0,55,40,0
14-04-49,0,73,35,0
15-04-49,0,71,42,0
16-04-49,0,58,45,0
17-04-49,0,54,39,0
18-04-49,0,53,45,0
19-04-49,0.2,55,43,1
20-04-49,0.23,57,43,1
21-04-49,0.01,54,42,1
22-04-49,0.25,55,40,1
23-04-49,0.16,58,43,1
24-04-49,0,59,41,0
25-04-49,0.01,59,43,1
26-04-49,0,69,40,0
27-04-49,0.06,63,43,1
28-04-49,0.1,61,46,1
29-04-49,0,52,39,0
30-04-49,0.07,55,38,1
01-05-49,0.81,52,43,1
02-05-49,0.11,54,40,1
03-05-49,0,56,37,0
04-05-49,0,59,38,0
05-05-49,0,72,36,0
06-05-49,0,70,46,0
07-05-49,0,77,47,0
08-05-49,0,77,47,0
09-05-49,0,74,46,0
10-05-49,0,73,44,0
11-05-49,0,80,48,0
12-05-49,0,78,51,0
13-05-49,0,77,50,0
14-05-49,0,76,47,0
15-05-49,0,65,49,0
16-05-49,0,59,45,0
17-05-49,0,65,45,0
18-05-49,0,78,48,0
19-05-49,0.27,61,47,1
20-05-49,0,68,48,0
21-05-49,0,70,48,0
22-05-49,0,71,52,0
23-05-49,0,76,48,0
24-05-49,0,68,51,0
25-05-49,0,71,47,0
26-05-49,0,71,46,0
27-05-49,0.1,61,51,1
28-05-49,0,65,47,0
29-05-49,0,67,45,0
30-05-49,0,66,47,0
31-05-49,0.01,64,47,1
01-06-49,0.06,64,47,1
02-06-49,0,67,46,0
03-06-49,0,74,45,0
04-06-49,0,80,50,0
05-06-49,0,84,52,0
06-06-49,0,83,53,0
07-06-49,0,72,45,0
08-06-49,0,79,47,0
09-06-49,0.07,76,50,1
10-06-49,0,68,52,0
11-06-49,0,74,47,0
12-06-49,0,74,46,0
13-06-49,0,74,47,0
14-06-49,0,80,47,0
15-06-49,0,68,43,0
16-06-49,0.09,65,44,1
17-06-49,0.16,73,44,1
18-06-49,0,77,46,0
19-06-49,0.02,66,49,1
20-06-49,0.03,71,52,1
21-06-49,0,74,49,0
22-06-49,0,63,51,0
23-06-49,0,68,51,0
24-06-49,0.01,64,47,1
25-06-49,0.01,64,45,1
26-06-49,0.28,63,46,1
27-06-49,0.01,61,45,1
28-06-49,0.17,61,45,1
29-06-49,0.02,64,45,1
30-06-49,0,73,43,0
01-07-49,0,70,45,0
02-07-49,0,72,48,0
03-07-49,0,75,45,0
04-07-49,0,72,43,0
05-07-49,0,68,50,0
06-07-49,0,69,45,0
07-07-49,0,74,50,0
08-07-49,0,80,49,0
09-07-49,0,83,54,0
10-07-49,0,82,50,0
11-07-49,0,75,52,0
12-07-49,0,83,49,0
13-07-49,0,86,50,0
14-07-49,0,85,57,0
15-07-49,0,78,55,0
16-07-49,0,72,54,0
17-07-49,0,77,51,0
18-07-49,0.07,68,53,1
19-07-49,0.07,66,53,1
20-07-49,0,69,52,0
21-07-49,0,71,50,0
22-07-49,0,68,54,0
23-07-49,0.54,66,55,1
24-07-49,0.05,70,52,1
25-07-49,0.11,62,54,1
26-07-49,0.11,65,51,1
27-07-49,0.09,69,50,1
28-07-49,0,75,51,0
29-07-49,0,80,51,0
30-07-49,0,80,55,0
31-07-49,0,86,56,0
01-08-49,0,92,62,0
02-08-49,0,74,55,0
03-08-49,0,71,55,0
04-08-49,0.02,73,55,1
05-08-49,0,74,53,0
06-08-49,0.08,66,54,1
07-08-49,0.01,67,53,1
08-08-49,0,73,54,0
09-08-49,0,74,51,0
10-08-49,0,73,53,0
11-08-49,0.01,70,57,1
12-08-49,0.06,68,49,1
13-08-49,0,72,51,0
14-08-49,0,71,48,0
15-08-49,0,78,50,0
16-08-49,0,72,58,0
17-08-49,0,77,54,0
18-08-49,0,77,52,0
19-08-49,0,81,50,0
20-08-49,0,73,52,0
21-08-49,0,73,55,0
22-08-49,0,75,49,0
23-08-49,0,76,50,0
24-08-49,0.25,70,49,1
25-08-49,0,71,53,0
26-08-49,0,76,48,0
27-08-49,0,80,52,0
28-08-49,0,85,56,0
29-08-49,0,83,55,0
30-08-49,0.02,68,53,1
31-08-49,0,75,55,0
01-09-49,0,78,50,0
02-09-49,0,77,51,0
03-09-49,0,82,59,0
04-09-49,0,83,62,0
05-09-49,0,81,61,0
06-09-49,0,87,55,0
07-09-49,0,85,53,0
08-09-49,0,75,51,0
09-09-49,0,70,54,0
10-09-49,0,67,53,0
11-09-49,0,68,45,0
12-09-49,0,76,44,0
13-09-49,0,79,47,0
14-09-49,0.73,61,52,1
15-09-49,0.35,60,51,1
16-09-49,0.23,62,48,1
17-09-49,0,61,47,0
18-09-49,0.08,63,51,1
19-09-49,0.02,62,49,1
20-09-49,0,65,40,0
21-09-49,0,68,46,0
22-09-49,0,73,44,0
23-09-49,0,73,46,0
24-09-49,0,60,51,0
25-09-49,0,66,51,0
26-09-49,0,77,46,0
27-09-49,0,82,50,0
28-09-49,0,64,54,0
29-09-49,0,65,55,0
30-09-49,0.02,60,49,1
01-10-49,0,65,49,0
02-10-49,0,65,43,0
03-10-49,0.14,56,39,1
04-10-49,0.74,54,47,1
05-10-49,0,61,44,0
06-10-49,0.2,53,42,1
07-10-49,0.15,57,41,1
08-10-49,0,53,39,0
09-10-49,0.18,60,43,1
10-10-49,0.12,56,41,1
11-10-49,0.04,59,46,1
12-10-49,0,60,43,0
13-10-49,0,57,37,0
14-10-49,0,63,36,0
15-10-49,0.2,59,42,1
16-10-49,0,53,41,0
17-10-49,0.05,51,34,1
18-10-49,0,48,32,0
19-10-49,0,50,28,0
20-10-49,0,53,29,0
21-10-49,0,55,32,0
22-10-49,0,60,39,0
23-10-49,0,47,41,0
24-10-49,0,52,42,0
25-10-49,0,48,42,0
26-10-49,0.17,52,44,1
27-10-49,1.17,57,48,1
28-10-49,0.69,58,48,1
29-10-49,0,57,41,0
30-10-49,0,65,41,0
31-10-49,0,71,42,0
01-11-49,0,63,40,0
02-11-49,0,69,38,0
03-11-49,0,69,38,0
04-11-49,0,74,41,0
05-11-49,0,65,40,0
06-11-49,0,55,39,0
07-11-49,0.01,52,38,1
08-11-49,0.06,51,44,1
09-11-49,0.26,51,39,1
10-11-49,0.27,51,42,1
11-11-49,0.69,55,45,1
12-11-49,1.38,50,44,1
13-11-49,0.23,54,49,1
14-11-49,0.12,56,47,1
15-11-49,0,53,44,0
16-11-49,0,66,43,0
17-11-49,0,56,43,0
18-11-49,0.06,53,45,1
19-11-49,0,50,45,0
20-11-49,0,49,39,0
21-11-49,0,54,35,0
22-11-49,0.67,54,39,1
23-11-49,0.22,52,47,1
24-11-49,0.15,58,48,1
25-11-49,0.3,59,47,1
26-11-49,1.17,61,48,1
27-11-49,0.37,54,46,1
28-11-49,0.42,49,43,1
29-11-49,0.37,50,40,1
30-11-49,0.03,52,43,1
01-12-49,0.43,55,48,1
02-12-49,0,49,38,0
03-12-49,0,45,30,0
04-12-49,0,54,41,0
05-12-49,0.1,47,35,1
06-12-49,0,45,31,0
07-12-49,0,45,34,0
08-12-49,0.02,44,27,1
09-12-49,0.07,43,32,1
10-12-49,0.01,38,25,1
11-12-49,0.13,34,24,1
12-12-49,0.11,37,31,1
13-12-49,0,45,36,0
14-12-49,0,49,38,0
15-12-49,0.15,43,33,1
16-12-49,0.21,40,35,1
17-12-49,0.1,42,33,1
18-12-49,0.3,34,24,1
19-12-49,0,30,17,0
20-12-49,0.07,37,22,1
21-12-49,0.02,44,35,1
22-12-49,0.01,47,42,1
23-12-49,1.14,47,36,1
24-12-49,0.03,42,32,1
25-12-49,0.23,43,37,1
26-12-49,0.12,42,39,1
27-12-49,1.27,48,41,1
28-12-49,0.26,52,44,1
29-12-49,0.22,54,32,1
30-12-49,0.23,38,29,1
31-12-49,0.07,36,29,1
01-01-50,0.25,32,24,1
02-01-50,0.01,24,6,1
03-01-50,0.1,26,6,1
04-01-50,0,28,14,0
05-01-50,0.08,38,22,1
06-01-50,0.95,39,35,1
07-01-50,0.31,37,33,1
08-01-50,0.22,33,31,1
09-01-50,0.13,35,30,1
10-01-50,0.33,42,31,1
11-01-50,0.05,35,29,1
12-01-50,0,32,18,0
13-01-50,1.27,19,11,1
14-01-50,0.16,16,8,1
15-01-50,0.02,21,15,1
16-01-50,0,22,13,0
17-01-50,0,24,15,0
18-01-50,0.29,25,9,1
19-01-50,1.07,42,24,1
20-01-50,1.46,48,37,1
21-01-50,0.43,48,42,1
22-01-50,0.47,45,36,1
23-01-50,0.04,36,25,1
24-01-50,0,26,10,0
25-01-50,0.24,24,7,1
26-01-50,1.03,35,21,1
27-01-50,0,28,19,0
28-01-50,0,25,7,0
29-01-50,0,24,6,0
30-01-50,0,22,7,0
31-01-50,0,20,0,0
01-02-50,0,27,1,0
02-02-50,0,30,8,0
03-02-50,0.01,35,8,1
04-02-50,0.27,41,33,1
05-02-50,0.07,43,34,1
06-02-50,0.29,40,35,1
07-02-50,0.08,46,35,1
08-02-50,0.6,44,35,1
09-02-50,0.02,45,37,1
10-02-50,0.21,42,36,1
11-02-50,0,44,39,0
12-02-50,0.79,44,38,1
13-02-50,0.23,52,41,1
14-02-50,0.28,54,42,1
15-02-50,0.45,54,46,1
16-02-50,0.15,50,39,1
17-02-50,0.01,54,39,1
18-02-50,0.04,52,38,1
19-02-50,0,46,34,0
20-02-50,0.03,46,36,1
21-02-50,0.06,47,37,1
22-02-50,0.02,50,40,1
23-02-50,0.83,49,39,1
24-02-50,0.15,49,41,1
25-02-50,0.8,58,41,1
26-02-50,0.35,53,36,1
27-02-50,0,46,31,0
28-02-50,0,50,29,0
01-03-50,0,55,35,0
02-03-50,0.27,50,39,1
03-03-50,2.08,56,46,1
04-03-50,0.85,47,42,1
05-03-50,0.36,49,40,1
06-03-50,0,46,36,0
07-03-50,0,46,28,0
08-03-50,0.06,47,36,1
09-03-50,0.11,44,35,1
10-03-50,0.04,42,31,1
11-03-50,0,41,27,0
12-03-50,0.03,43,32,1
13-03-50,0.12,47,33,1
14-03-50,0,49,39,0
15-03-50,0.05,49,40,1
16-03-50,0.98,49,42,1
17-03-50,1.05,54,40,1
18-03-50,0.88,46,40,1
19-03-50,0.17,52,38,1
20-03-50,0.19,46,33,1
21-03-50,0.23,49,34,1
22-03-50,0.08,45,36,1
23-03-50,0.23,46,34,1
24-03-50,0.03,50,35,1
25-03-50,0,51,35,0
26-03-50,0.36,46,38,1
27-03-50,0.01,47,36,1
28-03-50,0,47,31,0
29-03-50,0,52,28,0
30-03-50,0.06,45,41,1
31-03-50,0.16,50,41,1
01-04-50,0.04,51,41,1
02-04-50,0.1,47,38,1
03-04-50,0,52,35,0
04-04-50,0,61,32,0
05-04-50,0.1,62,39,1
06-04-50,0.02,52,37,1
07-04-50,0,57,37,0
08-04-50,0.05,50,40,1
09-04-50,0,52,38,0
10-04-50,0,58,34,0
11-04-50,0.3,58,43,1
12-04-50,0.61,54,41,1
13-04-50,0,57,38,0
14-04-50,0.08,51,38,1
15-04-50,0.75,49,43,1
16-04-50,0.41,53,42,1
17-04-50,0.02,52,40,1
18-04-50,0,61,34,0
19-04-50,0,74,45,0
20-04-50,0,56,35,0
21-04-50,0,50,33,0
22-04-50,0.03,50,35,1
23-04-50,0,52,33,0
24-04-50,0,57,30,0
25-04-50,0.04,54,40,1
26-04-50,0.08,46,38,1
27-04-50,0.24,52,37,1
28-04-50,0,60,34,0
29-04-50,0,66,36,0
30-04-50,0.05,63,38,1
01-05-50,0.08,55,41,1
02-05-50,0,54,36,0
03-05-50,0.01,53,35,1
04-05-50,0.05,49,43,1
05-05-50,0.1,52,39,1
06-05-50,0,53,38,0
07-05-50,0,60,34,0
08-05-50,0,61,41,0
09-05-50,0.01,55,40,1
10-05-50,0,66,49,0
11-05-50,0,73,44,0
12-05-50,0,68,48,0
13-05-50,0,65,44,0
14-05-50,0,63,39,0
15-05-50,0,62,40,0
16-05-50,0.04,61,41,1
17-05-50,0.28,53,41,1
18-05-50,0,55,37,0
19-05-50,0,62,46,0
20-05-50,0,67,43,0
21-05-50,0,63,47,0
22-05-50,0.02,56,43,1
23-05-50,0,61,37,0
24-05-50,0,69,37,0
25-05-50,0,79,40,0
26-05-50,0.04,73,45,1
27-05-50,0.14,60,47,1
28-05-50,0.01,63,45,1
29-05-50,0,63,46,0
30-05-50,0,65,43,0
31-05-50,0,72,41,0
01-06-50,0,67,47,0
02-06-50,0,78,47,0
03-06-50,0,84,46,0
04-06-50,0,70,44,0
05-06-50,0.06,61,43,1
06-06-50,0.22,52,45,1
07-06-50,0.07,55,47,1
08-06-50,0,64,48,0
09-06-50,0,72,46,0
10-06-50,0.02,73,53,1
11-06-50,0,75,51,0
12-06-50,0.01,59,51,1
13-06-50,0.02,64,51,1
14-06-50,0.01,58,52,1
15-06-50,0,73,54,0
16-06-50,0,84,54,0
17-06-50,0,65,56,0
18-06-50,0,73,55,0
19-06-50,0,80,53,0
20-06-50,0.01,69,54,1
21-06-50,0.07,62,49,1
22-06-50,0.05,61,49,1
23-06-50,0.01,64,48,1
24-06-50,0,66,48,0
25-06-50,0.01,68,47,1
26-06-50,0,78,49,0
27-06-50,0.03,78,57,1
28-06-50,0,82,57,0
29-06-50,0,81,57,0
30-06-50,0,77,57,0
01-07-50,0,77,50,0
02-07-50,0,81,51,0
03-07-50,0,80,47,0
04-07-50,0,79,50,0
05-07-50,0,78,51,0
06-07-50,0,73,54,0
07-07-50,0,69,52,0
08-07-50,0.21,66,47,1
09-07-50,0.01,68,53,1
10-07-50,0,68,53,0
11-07-50,0,72,52,0
12-07-50,0,80,51,0
13-07-50,0,76,50,0
14-07-50,0,74,55,0
15-07-50,0,69,51,0
16-07-50,0,75,52,0
17-07-50,0,83,48,0
18-07-50,0,77,53,0
19-07-50,0.36,77,54,1
20-07-50,0,77,51,0
21-07-50,0,86,56,0
22-07-50,0,82,54,0
23-07-50,0,81,54,0
